Date,geral,alimentos,habitacao,artigos_residencia,vestuario,transporte,comunicacao,saude,gastos_pessoais,educacao,geral_indice,alimentos_indice,habitacao_indice,artigos_residencia_indice,vestuario_indice,transporte_indice,comunicacao_indice,saude_indice,gastos_pessoais_indice,educacao_indice
01/2003,2.25,2.15,1.76,1.9,0.94,4.2,0.32,1.44,1.94,1.23,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
02/2003,1.57,1.22,0.18,1.57,0.11,3,3.24,0.67,0.64,5.64,101.57,101.22,100.18,101.57,100.11,103.00,103.24,100.67,100.64,105.64
03/2003,1.23,1.66,1.09,1.19,0.6,0.7,1.58,2.39,0.72,0.92,102.82,102.90,101.27,102.78,100.71,103.72,104.87,103.08,101.36,106.61
04/2003,0.97,1.01,1.95,0.82,1.03,0.5,0.14,1.54,0.35,0.43,103.82,103.94,103.25,103.62,101.75,104.24,105.02,104.66,101.72,107.07
05/2003,0.61,0.63,2.27,0.29,1.14,-0.32,0.03,0.71,0.11,0.22,104.45,104.59,105.59,103.92,102.91,103.91,105.05,105.41,101.83,107.31
06/2003,-0.15,-0.34,0.52,-0.03,1.89,-1.45,0.19,0.34,0.22,0.12,104.29,104.24,106.14,103.89,104.85,102.40,105.25,105.76,102.06,107.43
07/2003,0.2,-0.67,0.8,-0.08,0.36,-0.68,8.33,0.4,0.17,0.51,104.50,103.54,106.99,103.81,105.23,101.70,114.02,106.19,102.23,107.98
08/2003,0.34,-0.27,1,0.1,0.09,0.12,1.39,0.25,1.2,0.35,104.86,103.26,108.06,103.91,105.33,101.83,115.60,106.45,103.46,108.36
09/2003,0.78,0.78,1.17,0.24,0.72,0.68,2.32,0.52,0.59,0.21,105.68,104.07,109.32,104.16,106.08,102.52,118.28,107.01,104.07,108.59
10/2003,0.29,0.46,0.44,0.47,0.92,-0.39,-0.06,0.64,0.65,-0.03,105.98,104.54,109.80,104.65,107.06,102.12,118.21,107.69,104.74,108.56
11/2003,0.34,0.25,0.29,0.12,0.99,0.15,0.03,0.17,1.27,0.14,106.34,104.81,110.12,104.78,108.12,102.27,118.25,107.87,106.07,108.71
12/2003,0.52,0.39,0.22,0.12,0.98,0.67,0.05,0.56,1.34,0.18,106.89,105.22,110.36,104.90,109.18,102.96,118.31,108.48,107.49,108.90
01/2004,0.76,0.88,1.16,0.37,0.03,0.79,0.16,0.43,0.97,0.68,107.71,106.14,111.64,105.29,109.21,103.77,118.50,108.95,108.54,109.64
02/2004,0.61,0.15,0.29,0.43,-0.23,0.52,0.83,0.28,0.39,6.7,108.36,106.30,111.97,105.74,108.96,104.31,119.48,109.25,108.96,116.99
03/2004,0.47,0.43,0.59,0.7,0.46,-0.08,0.72,0.74,1.02,0.62,108.87,106.76,112.63,106.48,109.46,104.23,120.34,110.06,110.07,117.72
04/2004,0.37,-0.34,0.82,0.31,1.11,0.12,-0.01,1.59,0.3,0.4,109.28,106.39,113.55,106.81,110.68,104.35,120.33,111.81,110.40,118.19
05/2004,0.51,0.23,0.62,0.29,1.34,0.54,0.06,1.25,0.08,0.25,109.83,106.64,114.26,107.12,112.16,104.91,120.40,113.21,110.49,118.48
06/2004,0.71,0.72,0.2,0.63,1.14,1.58,0.06,0.42,0.3,0.19,110.61,107.41,114.49,107.80,113.44,106.57,120.47,113.68,110.82,118.71
07/2004,0.91,0.67,1.28,0.43,0.51,1.03,4.46,0.48,0.5,0.27,111.62,108.13,115.95,108.26,114.02,107.67,125.85,114.23,111.38,119.03
08/2004,0.69,0.85,0.34,-0.03,0.5,1.21,0.64,0.42,0.65,0.57,112.39,109.05,116.34,108.23,114.59,108.97,126.65,114.71,112.10,119.71
09/2004,0.33,-0.19,0.3,0.68,0.96,0.36,2.82,0,0.46,0.13,112.76,108.84,116.69,108.96,115.69,109.36,130.22,114.71,112.62,119.86
10/2004,0.44,-0.23,0.46,0.49,1.12,0.98,0.69,0.4,0.61,-0.08,113.26,108.59,117.23,109.50,116.98,110.44,131.12,115.17,113.30,119.77
11/2004,0.69,-0.01,0.36,0.53,1.02,1.74,2.37,0.31,0.5,0.08,114.04,108.58,117.65,110.08,118.18,112.36,134.23,115.52,113.87,119.86
12/2004,0.86,0.65,0.5,0.47,1.59,1.71,0.4,0.35,0.87,0.33,115.02,109.28,118.24,110.60,120.05,114.28,134.77,115.93,114.86,120.26
01/2005,0.58,0.78,0.59,0.84,0.23,0.6,0.04,0.32,0.69,0.34,115.69,110.14,118.94,111.53,120.33,114.96,134.82,116.30,115.65,120.67
02/2005,0.59,0.49,0.44,0.64,-0.22,0.13,0.03,0.48,0.58,5.28,116.37,110.67,119.46,112.24,120.07,115.11,134.86,116.86,116.32,127.04
03/2005,0.61,0.26,0.85,0.18,0.6,1.33,0.19,0.25,0.3,0.43,117.08,110.96,120.48,112.44,120.79,116.65,135.12,117.15,116.67,127.58
04/2005,0.87,0.81,0.83,0.52,0.92,1.08,0.67,1.55,0.45,0.14,118.10,111.86,121.48,113.03,121.90,117.91,136.02,118.96,117.20,127.76
05/2005,0.49,0.65,0.65,0.58,1.45,-0.04,-0.17,1.06,0.34,0.09,118.68,112.59,122.27,113.68,123.67,117.86,135.79,120.23,117.59,127.88
06/2005,-0.02,-0.67,0.33,0.17,0.38,-0.29,0.71,0.18,0.6,0.24,118.65,111.83,122.67,113.87,124.14,117.52,136.75,120.44,118.30,128.18
07/2005,0.25,-0.77,0.04,0.25,0.15,0.62,3.8,0.37,0.63,0.17,118.95,110.97,122.72,114.16,124.32,118.24,141.95,120.89,119.05,128.40
08/2005,0.17,-0.73,0.41,0.25,0.05,0.41,1.08,0.41,0.65,0.19,119.15,110.16,123.22,114.44,124.38,118.73,143.48,121.38,119.82,128.65
09/2005,0.35,-0.25,0.61,-0.26,0.19,0.86,0,0.45,0.73,0.09,119.57,109.89,123.97,114.15,124.62,119.75,143.48,121.93,120.69,128.76
10/2005,0.75,0.27,0.45,-0.37,0.72,2.21,0,0.45,0.74,-0.14,120.47,110.18,124.53,113.72,125.52,122.40,143.48,122.48,121.59,128.58
11/2005,0.55,0.88,0.64,-0.47,0.85,0.66,-0.05,0.32,0.61,-0.03,121.13,111.15,125.33,113.19,126.58,123.21,143.41,122.87,122.33,128.54
12/2005,0.36,0.27,0.42,0.36,1.58,0.24,0.03,0.2,0.45,0.26,121.56,111.45,125.86,113.60,128.58,123.50,143.45,123.12,122.88,128.88
01/2006,0.59,0.11,-0.01,0.6,0.03,1.52,0.03,0.72,0.94,0.57,122.28,111.58,125.84,114.28,128.62,125.38,143.50,124.00,124.03,129.61
02/2006,0.41,-0.28,0.32,-0.39,-0.54,0.76,0.06,0.45,0.34,4.44,122.78,111.26,126.25,113.83,127.93,126.33,143.58,124.56,124.46,135.37
03/2006,0.43,-0.24,0.58,-0.14,0.21,1.13,0.04,0.5,0.4,0.71,123.31,111.00,126.98,113.67,128.20,127.76,143.64,125.18,124.95,136.33
04/2006,0.21,-0.27,0.58,-0.72,1.18,-0.01,0.14,1.18,0.2,0.02,123.57,110.70,127.71,112.86,129.71,127.75,143.84,126.66,125.20,136.35
05/2006,0.1,-0.03,0.33,-0.61,0.9,-0.42,0.04,0.9,0.37,-0.04,123.69,110.66,128.14,112.17,130.88,127.21,143.90,127.80,125.67,136.30
06/2006,-0.21,-0.61,0.41,-0.63,0.59,-0.93,0.01,0.35,0.26,0.02,123.43,109.99,128.66,111.46,131.65,126.03,143.91,128.25,125.99,136.33
07/2006,0.19,0.09,-0.02,0.02,-0.24,0.37,-0.07,0.44,0.67,0.09,123.67,110.09,128.64,111.48,131.33,126.49,143.81,128.81,126.84,136.45
08/2006,0.05,0.07,0.11,-0.14,0.09,-0.32,-0.3,0.2,0.96,-0.02,123.73,110.17,128.78,111.33,131.45,126.09,143.38,129.07,128.06,136.42
09/2006,0.21,0.08,0.42,-0.14,0.46,-0.01,-0.07,0.28,0.89,-0.01,123.99,110.25,129.32,111.17,132.06,126.07,143.28,129.43,129.20,136.41
10/2006,0.33,0.88,0.2,-0.41,0.64,-0.13,-0.01,0.37,0.87,0.17,124.40,111.22,129.58,110.72,132.90,125.91,143.27,129.91,130.32,136.64
11/2006,0.31,1.05,-0.08,0,0.65,-0.09,-0.1,0.22,0.69,0.03,124.78,112.39,129.47,110.72,133.77,125.80,143.12,130.20,131.22,136.68
12/2006,0.48,0.39,0.19,-0.18,1,1.14,-0.01,0.25,0.44,0.17,125.38,112.83,129.72,110.52,135.10,127.23,143.11,130.52,131.80,136.91
01/2007,0.44,0.84,0.07,0.29,-0.19,0.62,0.07,0.47,0.7,0.07,125.93,113.78,129.81,110.84,134.85,128.02,143.21,131.13,132.72,137.01
02/2007,0.44,0.78,0.19,-0.45,-0.72,0.07,-0.28,0.4,0.43,3.48,126.49,114.67,130.06,110.34,133.88,128.11,142.81,131.66,133.29,141.78
03/2007,0.37,0.98,0.26,-0.41,0.47,0.22,0.01,0.32,0.41,0.02,126.96,115.79,130.39,109.89,134.50,128.39,142.82,132.08,133.84,141.81
04/2007,0.25,0.03,0.39,-0.18,0.33,0.31,0.24,0.47,0.46,0.04,127.27,115.82,130.90,109.69,134.95,128.79,143.17,132.70,134.45,141.86
05/2007,0.28,0.16,0.19,-0.17,0.68,0.23,0.07,0.57,0.74,0.06,127.63,116.01,131.15,109.50,135.87,129.09,143.27,133.46,135.45,141.95
