Date,geral,alimentos,habitacao,artigos_residencia,vestuario,transporte,comunicacao,saude,gastos_pessoais,educacao
01/2003,2.25,2.15,1.76,1.9,0.94,4.2,0.32,1.44,1.94,1.23
02/2003,1.57,1.22,0.18,1.57,0.11,3,3.24,0.67,0.64,5.64
03/2003,1.23,1.66,1.09,1.19,0.6,0.7,1.58,2.39,0.72,0.92
04/2003,0.97,1.01,1.95,0.82,1.03,0.5,0.14,1.54,0.35,0.43
05/2003,0.61,0.63,2.27,0.29,1.14,-0.32,0.03,0.71,0.11,0.22
06/2003,-0.15,-0.34,0.52,-0.03,1.89,-1.45,0.19,0.34,0.22,0.12
07/2003,0.2,-0.67,0.8,-0.08,0.36,-0.68,8.33,0.4,0.17,0.51
08/2003,0.34,-0.27,1,0.1,0.09,0.12,1.39,0.25,1.2,0.35
09/2003,0.78,0.78,1.17,0.24,0.72,0.68,2.32,0.52,0.59,0.21
10/2003,0.29,0.46,0.44,0.47,0.92,-0.39,-0.06,0.64,0.65,-0.03
11/2003,0.34,0.25,0.29,0.12,0.99,0.15,0.03,0.17,1.27,0.14
12/2003,0.52,0.39,0.22,0.12,0.98,0.67,0.05,0.56,1.34,0.18
01/2004,0.76,0.88,1.16,0.37,0.03,0.79,0.16,0.43,0.97,0.68
02/2004,0.61,0.15,0.29,0.43,-0.23,0.52,0.83,0.28,0.39,6.7
03/2004,0.47,0.43,0.59,0.7,0.46,-0.08,0.72,0.74,1.02,0.62
04/2004,0.37,-0.34,0.82,0.31,1.11,0.12,-0.01,1.59,0.3,0.4
05/2004,0.51,0.23,0.62,0.29,1.34,0.54,0.06,1.25,0.08,0.25
06/2004,0.71,0.72,0.2,0.63,1.14,1.58,0.06,0.42,0.3,0.19
07/2004,0.91,0.67,1.28,0.43,0.51,1.03,4.46,0.48,0.5,0.27
08/2004,0.69,0.85,0.34,-0.03,0.5,1.21,0.64,0.42,0.65,0.57
09/2004,0.33,-0.19,0.3,0.68,0.96,0.36,2.82,0,0.46,0.13
10/2004,0.44,-0.23,0.46,0.49,1.12,0.98,0.69,0.4,0.61,-0.08
11/2004,0.69,-0.01,0.36,0.53,1.02,1.74,2.37,0.31,0.5,0.08
12/2004,0.86,0.65,0.5,0.47,1.59,1.71,0.4,0.35,0.87,0.33
01/2005,0.58,0.78,0.59,0.84,0.23,0.6,0.04,0.32,0.69,0.34
02/2005,0.59,0.49,0.44,0.64,-0.22,0.13,0.03,0.48,0.58,5.28
03/2005,0.61,0.26,0.85,0.18,0.6,1.33,0.19,0.25,0.3,0.43
04/2005,0.87,0.81,0.83,0.52,0.92,1.08,0.67,1.55,0.45,0.14
05/2005,0.49,0.65,0.65,0.58,1.45,-0.04,-0.17,1.06,0.34,0.09
06/2005,-0.02,-0.67,0.33,0.17,0.38,-0.29,0.71,0.18,0.6,0.24
07/2005,0.25,-0.77,0.04,0.25,0.15,0.62,3.8,0.37,0.63,0.17
08/2005,0.17,-0.73,0.41,0.25,0.05,0.41,1.08,0.41,0.65,0.19
09/2005,0.35,-0.25,0.61,-0.26,0.19,0.86,0,0.45,0.73,0.09
10/2005,0.75,0.27,0.45,-0.37,0.72,2.21,0,0.45,0.74,-0.14
11/2005,0.55,0.88,0.64,-0.47,0.85,0.66,-0.05,0.32,0.61,-0.03
12/2005,0.36,0.27,0.42,0.36,1.58,0.24,0.03,0.2,0.45,0.26
01/2006,0.59,0.11,-0.01,0.6,0.03,1.52,0.03,0.72,0.94,0.57
02/2006,0.41,-0.28,0.32,-0.39,-0.54,0.76,0.06,0.45,0.34,4.44
03/2006,0.43,-0.24,0.58,-0.14,0.21,1.13,0.04,0.5,0.4,0.71
04/2006,0.21,-0.27,0.58,-0.72,1.18,-0.01,0.14,1.18,0.2,0.02
05/2006,0.1,-0.03,0.33,-0.61,0.9,-0.42,0.04,0.9,0.37,-0.04
06/2006,-0.21,-0.61,0.41,-0.63,0.59,-0.93,0.01,0.35,0.26,0.02
07/2006,0.19,0.09,-0.02,0.02,-0.24,0.37,-0.07,0.44,0.67,0.09
08/2006,0.05,0.07,0.11,-0.14,0.09,-0.32,-0.3,0.2,0.96,-0.02
09/2006,0.21,0.08,0.42,-0.14,0.46,-0.01,-0.07,0.28,0.89,-0.01
